100365,0.000000,1.000000, x val = 129, y val = 144
100380,0.000000,1.000000, x val = 129, y val = 144
100395,0.000000,1.000000, x val = 129, y val = 144
100410,0.000000,0.891892, x val = 129, y val = 142
100425,0.000000,0.351351, x val = 129, y val = 132
100440,-0.052632,0.297297, x val = 128, y val = 131
100456,-0.052632,0.297297, x val = 128, y val = 131
100472,-0.052632,0.297297, x val = 128, y val = 131
100488,-0.052632,0.297297, x val = 128, y val = 131
100504,-0.052632,0.297297, x val = 128, y val = 131
100520,-0.052632,0.297297, x val = 128, y val = 131
100536,-0.052632,0.297297, x val = 128, y val = 131
100552,-0.052632,0.297297, x val = 128, y val = 131
100568,-0.052632,0.297297, x val = 128, y val = 131
100584,-0.052632,0.297297, x val = 128, y val = 131
100600,-0.052632,0.297297, x val = 128, y val = 131
100616,-0.052632,0.297297, x val = 128, y val = 131
100632,-0.052632,0.297297, x val = 128, y val = 131
100648,-0.052632,0.297297, x val = 128, y val = 131
100664,-0.052632,0.297297, x val = 128, y val = 131
100680,-0.052632,0.297297, x val = 128, y val = 131
100696,-0.052632,0.297297, x val = 128, y val = 131
100712,-0.052632,0.297297, x val = 128, y val = 131
100728,-0.052632,0.297297, x val = 128, y val = 131
100744,-0.052632,0.297297, x val = 128, y val = 131
100760,-0.052632,0.297297, x val = 128, y val = 131
100776,-0.052632,0.297297, x val = 128, y val = 131
100792,-0.052632,0.297297, x val = 128, y val = 131
100808,-0.052632,0.297297, x val = 128, y val = 131
100824,-0.052632,0.297297, x val = 128, y val = 131
100840,-0.052632,0.297297, x val = 128, y val = 131
100856,-0.052632,0.297297, x val = 128, y val = 131
100872,-0.052632,0.297297, x val = 128, y val = 131
100888,-0.052632,0.297297, x val = 128, y val = 131
100904,-0.052632,0.297297, x val = 128, y val = 131
100920,-0.052632,0.297297, x val = 128, y val = 131
100936,-0.052632,0.297297, x val = 128, y val = 131
100952,-0.052632,0.297297, x val = 128, y val = 131
100968,-0.052632,0.297297, x val = 128, y val = 131
100984,-0.052632,0.297297, x val = 128, y val = 131
101000,-0.052632,0.297297, x val = 128, y val = 131
101016,-0.052632,0.297297, x val = 128, y val = 131
101032,-0.052632,0.297297, x val = 128, y val = 131
101048,-0.052632,0.297297, x val = 128, y val = 131
101064,-0.052632,0.297297, x val = 128, y val = 131
101080,-0.052632,0.297297, x val = 128, y val = 131
101096,-0.052632,0.297297, x val = 128, y val = 131
101112,-0.052632,0.297297, x val = 128, y val = 131
101128,-0.052632,0.297297, x val = 128, y val = 131
101144,-0.052632,0.297297, x val = 128, y val = 131
101160,-0.052632,0.297297, x val = 128, y val = 131
101176,-0.052632,0.297297, x val = 128, y val = 131
101192,-0.052632,0.297297, x val = 128, y val = 131
101208,-0.052632,0.297297, x val = 128, y val = 131
