
79416,-0.081081,0.028571, x val = 128, y val = 127
79431,-0.081081,0.028571, x val = 128, y val = 127
79446,-0.081081,0.028571, x val = 128, y val = 127
79461,-0.081081,0.028571, x val = 128, y val = 127
79476,-0.081081,0.028571, x val = 128, y val = 127
79491,-0.081081,0.028571, x val = 128, y val = 127
79506,-0.081081,0.028571, x val = 128, y val = 127
79521,-0.081081,0.028571, x val = 128, y val = 127
79536,-0.081081,0.028571, x val = 128, y val = 127
79551,-0.081081,0.028571, x val = 128, y val = 127
79566,-0.081081,0.028571, x val = 128, y val = 127
79581,-0.081081,0.028571, x val = 128, y val = 127
79596,-0.081081,0.028571, x val = 128, y val = 127
79611,-0.081081,0.028571, x val = 128, y val = 127
79626,-0.081081,0.028571, x val = 128, y val = 127
79641,-0.081081,0.028571, x val = 128, y val = 127
79656,-0.081081,0.028571, x val = 128, y val = 127
79671,-0.081081,0.028571, x val = 128, y val = 127
79686,-0.081081,0.028571, x val = 128, y val = 127
79701,-0.081081,0.028571, x val = 128, y val = 127
79716,-0.081081,0.028571, x val = 128, y val = 127
79731,-0.081081,0.028571, x val = 128, y val = 127
79746,-0.081081,0.028571, x val = 128, y val = 127
79761,-0.081081,0.028571, x val = 128, y val = 127
79776,-0.081081,0.028571, x val = 128, y val = 127
79791,-0.081081,0.028571, x val = 128, y val = 127
79806,-0.081081,0.028571, x val = 128, y val = 127
79821,-0.081081,0.028571, x val = 128, y val = 127
79836,-0.081081,0.028571, x val = 128, y val = 127
79851,-0.081081,0.028571, x val = 128, y val = 127
79866,-0.081081,0.028571, x val = 128, y val = 127
79881,-0.081081,0.028571, x val = 128, y val = 127
79896,-0.081081,0.028571, x val = 128, y val = 127
79911,-0.081081,0.028571, x val = 128, y val = 127
79926,-0.081081,0.028571, x val = 128, y val = 127
79941,-0.081081,0.028571, x val = 128, y val = 127
79956,-0.081081,0.028571, x val = 128, y val = 127
79971,-0.081081,0.028571, x val = 128, y val = 127
79986,-0.081081,0.028571, x val = 128, y val = 127
80001,-0.081081,0.028571, x val = 128, y val = 127
80016,-0.081081,0.028571, x val = 128, y val = 127
80031,-0.081081,0.028571, x val = 128, y val = 127
80046,-0.081081,0.028571, x val = 128, y val = 127
80061,-0.081081,0.028571, x val = 128, y val = 127
80076,-0.081081,0.028571, x val = 128, y val = 127
80091,-0.081081,0.028571, x val = 128, y val = 127
80106,-0.081081,0.028571, x val = 128, y val = 127
80121,-0.081081,0.028571, x val = 128, y val = 127
80136,-0.081081,0.028571, x val = 128, y val = 127
80151,-0.081081,0.028571, x val = 128, y val = 127
80166,-0.081081,0.028571, x val = 128, y val = 127
80181,-0.081081,0.028571, x val = 128, y val = 127
80196,-0.081081,0.028571, x val = 128, y val = 127
80211,-0.081081,0.028571, x val = 128, y val = 127
80226,-0.081081,0.028571, x val = 128, y val = 127
80241,-0.081081,0.028571, x val = 128, y val = 127
80256,-0.081081,0.028571, x val = 128, y val = 127
80271,-0.081081,0.028571, x val = 128, y val = 127
80286,-0.081081,0.028571, x val = 128, y val = 127
80301,-0.081081,0.028571, x val = 128, y val = 127
80316,-0.081081,0.028571, x val = 128, y val = 127
80331,-0.081081,0.028571, x val = 128, y val = 127
80346,-0.081081,0.028571, x val = 128, y val = 127
80361,-0.081081,0.028571, x val = 128, y val = 127
80376,-0.081081,0.028571, x val = 128, y val = 127
80391,-0.081081,0.028571, x val = 128, y val = 127
80406,-0.081081,0.028571, x val = 128, y val = 127
80421,-0.081081,0.028571, x val = 128, y val = 127
80436,-0.081081,0.028571, x val = 128, y val = 127
80451,-0.081081,0.028571, x val = 128, y val = 127
80466,-0.081081,0.028571, x val = 128, y val = 127
80481,-0.081081,0.028571, x val = 128, y val = 127
80496,-0.081081,0.028571, x val = 128, y val = 127
80511,-0.081081,0.028571, x val = 128, y val = 127
80526,-0.081081,0.028571, x val = 128, y val = 127
80541,-0.081081,0.028571, x val = 128, y val = 127
80556,-0.081081,0.028571, x val = 128, y val = 127
80571,-0.081081,0.028571, x val = 128, y val = 127
80586,-0.081081,0.028571, x val = 128, y val = 127
80601,-0.081081,0.028571, x val = 128, y val = 127
80616,-0.081081,0.028571, x val = 128, y val = 127
80631,-0.081081,0.028571, x val = 128, y val = 127
80646,-0.081081,0.028571, x val = 128, y val = 127
80661,-0.081081,0.028571, x val = 128, y val = 127
80676,-0.081081,0.028571, x val = 128, y val = 127
80691,-0.081081,0.085714, x val = 128, y val = 128
80706,-0.081081,0.085714, x val = 128, y val = 128
80721,-0.081081,0.085714, x val = 128, y val = 128
80736,-0.081081,0.085714, x val = 128, y val = 128
80751,-0.081081,0.085714, x val = 128, y val = 128
80766,-0.081081,0.085714, x val = 128, y val = 128
80781,-0.081081,0.085714, x val = 128, y val = 128
80796,-0.081081,0.085714, x val = 128, y val = 128
80811,-0.081081,0.085714, x val = 128, y val = 128
80826,-0.081081,0.085714, x val = 128, y val = 128
80841,-0.081081,0.142857, x val = 128, y val = 129
80857,-0.081081,0.142857, x val = 128, y val = 129
80872,-0.081081,0.142857, x val = 128, y val = 129
80887,-0.081081,0.200000, x val = 128, y val = 130
80902,-0.081081,0.200000, x val = 128, y val = 130
80917,-0.081081,0.257143, x val = 128, y val = 131
80932,-0.081081,0.257143, x val = 128, y val = 131
80947,-0.081081,0.314286, x val = 128, y val = 132
80962,-0.081081,0.314286, x val = 128, y val = 132
80977,-0.081081,0.371429, x val = 128, y val = 133
80992,-0.081081,0.428571, x val = 128, y val = 134
81007,-0.081081,0.485714, x val = 128, y val = 135
81022,-0.081081,0.542857, x val = 128, y val = 136
81038,-0.081081,0.542857, x val = 128, y val = 136
81053,-0.081081,0.600000, x val = 128, y val = 137
81068,-0.081081,0.657143, x val = 128, y val = 138
81083,-0.081081,0.714286, x val = 128, y val = 139
81098,-0.081081,0.771429, x val = 128, y val = 140
81113,-0.081081,0.771429, x val = 128, y val = 140
81128,-0.081081,0.771429, x val = 128, y val = 140
81143,-0.081081,0.771429, x val = 128, y val = 140
81158,-0.081081,0.828571, x val = 128, y val = 141
81174,-0.081081,0.828571, x val = 128, y val = 141
81189,-0.081081,0.828571, x val = 128, y val = 141
81204,-0.081081,0.828571, x val = 128, y val = 141
81220,-0.081081,0.828571, x val = 128, y val = 141
81235,-0.081081,0.828571, x val = 128, y val = 141
81250,-0.081081,0.828571, x val = 128, y val = 141
81266,-0.081081,0.828571, x val = 128, y val = 141
81281,-0.081081,0.828571, x val = 128, y val = 141
81296,-0.081081,0.828571, x val = 128, y val = 141
81312,-0.081081,0.828571, x val = 128, y val = 141
81327,-0.081081,0.828571, x val = 128, y val = 141
81342,-0.081081,0.828571, x val = 128, y val = 141
81358,-0.081081,0.828571, x val = 128, y val = 141
81373,-0.081081,0.828571, x val = 128, y val = 141
81388,-0.081081,0.828571, x val = 128, y val = 141
81404,-0.081081,0.828571, x val = 128, y val = 141
81419,-0.081081,0.828571, x val = 128, y val = 141
81434,-0.081081,0.828571, x val = 128, y val = 141
81450,-0.081081,0.828571, x val = 128, y val = 141
81465,-0.081081,0.828571, x val = 128, y val = 141
81480,-0.081081,0.828571, x val = 128, y val = 141
81496,-0.081081,0.828571, x val = 128, y val = 141
81511,-0.081081,0.828571, x val = 128, y val = 141
81526,-0.081081,0.828571, x val = 128, y val = 141
81542,-0.081081,0.828571, x val = 128, y val = 141
81557,-0.081081,0.828571, x val = 128, y val = 141
81572,-0.081081,0.828571, x val = 128, y val = 141
81588,-0.081081,0.828571, x val = 128, y val = 141
81603,-0.081081,0.828571, x val = 128, y val = 141
81618,-0.081081,0.828571, x val = 128, y val = 141
81634,-0.081081,0.828571, x val = 128, y val = 141
81649,-0.081081,0.828571, x val = 128, y val = 141
81664,-0.081081,0.828571, x val = 128, y val = 141
81680,-0.081081,0.828571, x val = 128, y val = 141
81695,-0.081081,0.828571, x val = 128, y val = 141
