
121872,-0.081081,0.055556, x val = 128, y val = 127
121888,-0.081081,0.055556, x val = 128, y val = 127
121904,-0.081081,0.055556, x val = 128, y val = 127
121920,-0.081081,0.055556, x val = 128, y val = 127
121936,-0.081081,0.055556, x val = 128, y val = 127
121952,-0.081081,0.055556, x val = 128, y val = 127
121968,-0.081081,0.055556, x val = 128, y val = 127
121984,-0.081081,0.055556, x val = 128, y val = 127
122000,-0.081081,0.055556, x val = 128, y val = 127
122016,-0.081081,0.055556, x val = 128, y val = 127
122032,-0.081081,0.055556, x val = 128, y val = 127
122048,-0.081081,0.055556, x val = 128, y val = 127
122064,-0.081081,0.055556, x val = 128, y val = 127
122080,-0.081081,0.055556, x val = 128, y val = 127
122096,-0.081081,0.055556, x val = 128, y val = 127
122112,-0.081081,0.055556, x val = 128, y val = 127
122128,-0.081081,0.055556, x val = 128, y val = 127
122144,-0.081081,0.055556, x val = 128, y val = 127
122160,-0.081081,0.055556, x val = 128, y val = 127
122176,-0.081081,0.055556, x val = 128, y val = 127
122192,-0.081081,0.055556, x val = 128, y val = 127
122208,-0.081081,0.055556, x val = 128, y val = 127
122224,-0.081081,0.055556, x val = 128, y val = 127
122240,-0.081081,0.055556, x val = 128, y val = 127
122256,-0.081081,0.055556, x val = 128, y val = 127
122272,-0.081081,0.055556, x val = 128, y val = 127
122288,-0.081081,0.055556, x val = 128, y val = 127
122304,-0.081081,0.055556, x val = 128, y val = 127
122320,-0.081081,0.055556, x val = 128, y val = 127
122336,-0.081081,0.055556, x val = 128, y val = 127
122352,-0.081081,0.055556, x val = 128, y val = 127
122368,-0.081081,0.055556, x val = 128, y val = 127
122384,-0.081081,0.055556, x val = 128, y val = 127
122400,-0.081081,0.055556, x val = 128, y val = 127
122416,-0.081081,0.055556, x val = 128, y val = 127
122432,-0.081081,0.055556, x val = 128, y val = 127
122448,-0.081081,0.055556, x val = 128, y val = 127
122464,-0.081081,0.055556, x val = 128, y val = 127
122480,-0.081081,0.055556, x val = 128, y val = 127
122496,-0.081081,0.055556, x val = 128, y val = 127
122512,-0.081081,0.055556, x val = 128, y val = 127
122528,-0.081081,0.055556, x val = 128, y val = 127
122544,-0.081081,0.055556, x val = 128, y val = 127
122560,-0.081081,0.055556, x val = 128, y val = 127
122576,-0.081081,0.055556, x val = 128, y val = 127
122592,-0.081081,0.055556, x val = 128, y val = 127
122608,-0.081081,0.055556, x val = 128, y val = 127
122624,-0.081081,0.055556, x val = 128, y val = 127
122640,-0.081081,0.055556, x val = 128, y val = 127
122656,-0.081081,0.055556, x val = 128, y val = 127
122672,-0.081081,0.055556, x val = 128, y val = 127
122688,-0.081081,0.055556, x val = 128, y val = 127
122704,-0.081081,0.055556, x val = 128, y val = 127
122720,-0.081081,0.055556, x val = 128, y val = 127
122736,-0.081081,0.055556, x val = 128, y val = 127
122752,-0.081081,0.055556, x val = 128, y val = 127
122768,-0.081081,0.055556, x val = 128, y val = 127
122784,-0.081081,0.055556, x val = 128, y val = 127
122800,-0.081081,0.055556, x val = 128, y val = 127
122816,-0.081081,0.055556, x val = 128, y val = 127
122832,-0.081081,0.055556, x val = 128, y val = 127
122848,-0.081081,0.055556, x val = 128, y val = 127
122864,-0.081081,0.055556, x val = 128, y val = 127
122880,-0.081081,0.055556, x val = 128, y val = 127
122896,-0.081081,0.055556, x val = 128, y val = 127
122912,-0.081081,0.055556, x val = 128, y val = 127
122928,-0.081081,0.055556, x val = 128, y val = 127
122944,-0.081081,0.055556, x val = 128, y val = 127
122960,-0.081081,0.055556, x val = 128, y val = 127
122976,-0.081081,0.055556, x val = 128, y val = 127
122992,-0.081081,0.055556, x val = 128, y val = 127
123008,-0.081081,0.055556, x val = 128, y val = 127
123024,-0.081081,0.055556, x val = 128, y val = 127
123040,-0.081081,0.055556, x val = 128, y val = 127
123056,-0.081081,0.055556, x val = 128, y val = 127
123072,-0.081081,0.055556, x val = 128, y val = 127
123088,-0.081081,0.055556, x val = 128, y val = 127
