63028,0.693878,-0.187500, x val = 129, y val = 125
63043,0.693878,-0.187500, x val = 129, y val = 125
63058,0.693878,-0.187500, x val = 129, y val = 125
63073,0.693878,-0.187500, x val = 129, y val = 125
63088,0.693878,-0.187500, x val = 129, y val = 125
63103,0.693878,-0.125000, x val = 129, y val = 126
63118,0.693878,-0.125000, x val = 129, y val = 126
63133,0.693878,-0.125000, x val = 129, y val = 126
63148,0.693878,-0.125000, x val = 129, y val = 126
63163,0.693878,-0.125000, x val = 129, y val = 126
63178,0.693878,-0.125000, x val = 129, y val = 126
63193,0.693878,-0.125000, x val = 129, y val = 126
63208,0.693878,-0.125000, x val = 129, y val = 126
63223,0.693878,-0.125000, x val = 129, y val = 126
63238,0.693878,-0.125000, x val = 129, y val = 126
63253,0.693878,-0.125000, x val = 129, y val = 126
63268,0.693878,-0.062500, x val = 129, y val = 127
63283,0.693878,-0.062500, x val = 129, y val = 127
63298,0.693878,-0.062500, x val = 129, y val = 127
63313,0.693878,-0.062500, x val = 129, y val = 127
63328,0.693878,-0.062500, x val = 129, y val = 127
63343,0.693878,-0.062500, x val = 129, y val = 127
63358,0.693878,-0.062500, x val = 129, y val = 127
63373,0.693878,-0.062500, x val = 129, y val = 127
63388,0.693878,0.000000, x val = 129, y val = 128
63403,0.693878,0.000000, x val = 129, y val = 128
63418,0.693878,0.000000, x val = 129, y val = 128
63433,0.693878,0.000000, x val = 129, y val = 128
63448,0.693878,0.062500, x val = 129, y val = 129
63463,0.693878,0.062500, x val = 129, y val = 129
63478,0.693878,0.125000, x val = 129, y val = 130
63493,0.693878,0.187500, x val = 129, y val = 131
63508,0.693878,0.187500, x val = 129, y val = 131
63523,0.693878,0.250000, x val = 129, y val = 132
63538,0.693878,0.312500, x val = 129, y val = 133
63553,0.693878,0.375000, x val = 129, y val = 134
63568,0.693878,0.437500, x val = 129, y val = 135
63583,0.693878,0.437500, x val = 129, y val = 135
63598,0.693878,0.437500, x val = 129, y val = 135
63613,0.693878,0.437500, x val = 129, y val = 135
63628,0.693878,0.437500, x val = 129, y val = 135
63643,0.693878,0.437500, x val = 129, y val = 135
63658,0.693878,0.437500, x val = 129, y val = 135
63673,0.693878,0.437500, x val = 129, y val = 135
63688,0.693878,0.437500, x val = 129, y val = 135
63703,0.693878,0.437500, x val = 129, y val = 135
63718,0.693878,0.437500, x val = 129, y val = 135
63733,0.693878,0.437500, x val = 129, y val = 135
63748,0.693878,0.437500, x val = 129, y val = 135
63763,0.693878,0.437500, x val = 129, y val = 135
63778,0.693878,0.437500, x val = 129, y val = 135
63793,0.693878,0.437500, x val = 129, y val = 135
63808,0.693878,0.437500, x val = 129, y val = 135
63823,0.693878,0.437500, x val = 129, y val = 135
63838,0.693878,0.437500, x val = 129, y val = 135
63853,0.693878,0.437500, x val = 129, y val = 135
63868,0.693878,0.437500, x val = 129, y val = 135
63883,0.693878,0.437500, x val = 129, y val = 135
63898,0.693878,0.437500, x val = 129, y val = 135
63913,0.693878,0.437500, x val = 129, y val = 135
63928,0.693878,0.437500, x val = 129, y val = 135
63943,0.693878,0.437500, x val = 129, y val = 135
63958,0.693878,0.437500, x val = 129, y val = 135
63973,0.693878,0.437500, x val = 129, y val = 135
63988,0.693878,0.437500, x val = 129, y val = 135
64003,0.693878,0.500000, x val = 129, y val = 136
64018,0.693878,0.500000, x val = 129, y val = 136
64033,0.693878,0.500000, x val = 129, y val = 136
64048,0.693878,0.500000, x val = 129, y val = 136
64063,0.693878,0.500000, x val = 129, y val = 136
64078,0.693878,0.500000, x val = 129, y val = 136
64093,0.693878,0.500000, x val = 129, y val = 136
64108,0.693878,0.500000, x val = 129, y val = 136
64123,0.693878,0.500000, x val = 129, y val = 136
64138,0.693878,0.500000, x val = 129, y val = 136
64153,0.693878,0.500000, x val = 129, y val = 136
64168,0.693878,0.562500, x val = 129, y val = 137
64183,0.693878,0.562500, x val = 129, y val = 137
64198,0.693878,0.562500, x val = 129, y val = 137
64213,0.714286,0.562500, x val = 130, y val = 137
64228,0.714286,0.562500, x val = 130, y val = 137
64243,0.734694,0.562500, x val = 131, y val = 137
64258,0.734694,0.562500, x val = 131, y val = 137
64273,0.755102,0.562500, x val = 132, y val = 137
64288,0.755102,0.562500, x val = 132, y val = 137
64303,0.775510,0.562500, x val = 133, y val = 137
64318,0.775510,0.562500, x val = 133, y val = 137
64333,0.795918,0.562500, x val = 134, y val = 137
64348,0.795918,0.562500, x val = 134, y val = 137
64363,0.816326,0.562500, x val = 135, y val = 137
64378,0.816326,0.562500, x val = 135, y val = 137
64393,0.836735,0.562500, x val = 136, y val = 137
64408,0.836735,0.562500, x val = 136, y val = 137
64423,0.836735,0.562500, x val = 136, y val = 137
64438,0.836735,0.562500, x val = 136, y val = 137
64453,0.836735,0.562500, x val = 136, y val = 137
64468,0.836735,0.562500, x val = 136, y val = 137
64483,0.836735,0.562500, x val = 136, y val = 137
64498,0.857143,0.562500, x val = 137, y val = 137
64513,0.857143,0.562500, x val = 137, y val = 137
64528,0.877551,0.562500, x val = 138, y val = 137
64543,0.877551,0.562500, x val = 138, y val = 137
64558,0.897959,0.562500, x val = 139, y val = 137
64573,0.897959,0.562500, x val = 139, y val = 137
64588,0.897959,0.562500, x val = 139, y val = 137
64603,0.897959,0.562500, x val = 139, y val = 137
64618,0.918367,0.562500, x val = 140, y val = 137
64633,0.918367,0.562500, x val = 140, y val = 137
64648,0.918367,0.562500, x val = 140, y val = 137
64663,0.918367,0.562500, x val = 140, y val = 137
64678,0.918367,0.562500, x val = 140, y val = 137
64693,0.918367,0.562500, x val = 140, y val = 137
64708,0.918367,0.562500, x val = 140, y val = 137
64723,0.918367,0.500000, x val = 140, y val = 136
64738,0.918367,0.437500, x val = 140, y val = 135
64753,0.918367,0.437500, x val = 140, y val = 135
64768,0.918367,0.375000, x val = 140, y val = 134
64783,0.918367,0.375000, x val = 140, y val = 134
64798,0.918367,0.375000, x val = 140, y val = 134
64813,0.918367,0.312500, x val = 140, y val = 133
64828,0.918367,0.312500, x val = 140, y val = 133
64843,0.938776,0.312500, x val = 141, y val = 133
64858,0.938776,0.250000, x val = 141, y val = 132
64873,0.938776,0.250000, x val = 141, y val = 132
64888,0.938776,0.250000, x val = 141, y val = 132
64903,0.938776,0.250000, x val = 141, y val = 132
64918,0.938776,0.250000, x val = 141, y val = 132
64933,0.959184,0.250000, x val = 142, y val = 132
64948,0.959184,0.187500, x val = 142, y val = 131
64963,0.959184,0.187500, x val = 142, y val = 131
64978,0.959184,0.187500, x val = 142, y val = 131
64993,0.959184,0.187500, x val = 142, y val = 131
65008,0.959184,0.125000, x val = 142, y val = 130
65023,0.959184,0.125000, x val = 142, y val = 130
65038,0.959184,0.125000, x val = 142, y val = 130
65053,0.979592,0.062500, x val = 143, y val = 129
65068,0.979592,0.062500, x val = 143, y val = 129
65083,0.979592,0.000000, x val = 143, y val = 128
65098,0.979592,0.000000, x val = 143, y val = 128
65113,0.979592,-0.062500, x val = 143, y val = 127
65128,0.979592,-0.062500, x val = 143, y val = 127
65143,0.979592,-0.062500, x val = 143, y val = 127
65158,0.979592,-0.062500, x val = 143, y val = 127
65173,0.979592,-0.125000, x val = 143, y val = 126
65188,0.979592,-0.125000, x val = 143, y val = 126
65203,0.979592,-0.125000, x val = 143, y val = 126
65218,0.979592,-0.125000, x val = 143, y val = 126
65233,0.979592,-0.125000, x val = 143, y val = 126
65248,0.979592,-0.125000, x val = 143, y val = 126
65263,0.979592,-0.125000, x val = 143, y val = 126
65278,0.979592,-0.125000, x val = 143, y val = 126
65293,0.979592,-0.125000, x val = 143, y val = 126
65308,0.979592,-0.125000, x val = 143, y val = 126
65323,0.979592,-0.125000, x val = 143, y val = 126
65338,0.979592,-0.125000, x val = 143, y val = 126
65353,0.979592,-0.125000, x val = 143, y val = 126
65368,0.979592,-0.125000, x val = 143, y val = 126
65383,0.979592,-0.125000, x val = 143, y val = 126
65398,0.979592,-0.125000, x val = 143, y val = 126
65413,0.979592,-0.125000, x val = 143, y val = 126
65428,0.979592,-0.125000, x val = 143, y val = 126
65443,0.979592,-0.125000, x val = 143, y val = 126
65458,0.979592,-0.125000, x val = 143, y val = 126
65473,0.979592,-0.125000, x val = 143, y val = 126
65488,0.979592,-0.125000, x val = 143, y val = 126
65503,0.979592,-0.125000, x val = 143, y val = 126
65518,0.979592,-0.125000, x val = 143, y val = 126
65533,0.979592,-0.125000, x val = 143, y val = 126
65548,0.979592,-0.125000, x val = 143, y val = 126
65563,0.979592,-0.125000, x val = 143, y val = 126
65578,0.959184,-0.187500, x val = 142, y val = 125
65593,0.959184,-0.187500, x val = 142, y val = 125
65608,0.959184,-0.187500, x val = 142, y val = 125
65623,0.959184,-0.250000, x val = 142, y val = 124
65638,0.959184,-0.250000, x val = 142, y val = 124
65653,0.959184,-0.312500, x val = 142, y val = 123
65668,0.959184,-0.375000, x val = 142, y val = 122
65683,0.959184,-0.375000, x val = 142, y val = 122
65698,0.959184,-0.437500, x val = 142, y val = 121
65713,0.959184,-0.500000, x val = 142, y val = 120
65728,0.959184,-0.500000, x val = 142, y val = 120
65743,0.959184,-0.562500, x val = 142, y val = 119
65758,0.959184,-0.562500, x val = 142, y val = 119
65773,0.959184,-0.625000, x val = 142, y val = 118
65788,0.959184,-0.625000, x val = 142, y val = 118
65803,0.959184,-0.625000, x val = 142, y val = 118
65818,0.959184,-0.687500, x val = 142, y val = 117
65833,0.959184,-0.687500, x val = 142, y val = 117
65848,0.959184,-0.687500, x val = 142, y val = 117
65863,0.959184,-0.687500, x val = 142, y val = 117
65878,0.959184,-0.750000, x val = 142, y val = 116
65893,0.959184,-0.750000, x val = 142, y val = 116
65908,0.959184,-0.750000, x val = 142, y val = 116
65923,0.959184,-0.750000, x val = 142, y val = 116
65938,0.959184,-0.750000, x val = 142, y val = 116
65953,0.959184,-0.750000, x val = 142, y val = 116
65968,0.959184,-0.750000, x val = 142, y val = 116
65983,0.959184,-0.750000, x val = 142, y val = 116
65998,0.959184,-0.750000, x val = 142, y val = 116
66013,0.959184,-0.750000, x val = 142, y val = 116
66028,0.959184,-0.750000, x val = 142, y val = 116
66043,0.959184,-0.750000, x val = 142, y val = 116
66058,0.959184,-0.812500, x val = 142, y val = 115
66073,0.959184,-0.812500, x val = 142, y val = 115
66088,0.959184,-0.812500, x val = 142, y val = 115
66103,0.959184,-0.875000, x val = 142, y val = 114
66118,0.959184,-0.875000, x val = 142, y val = 114
66133,0.959184,-0.875000, x val = 142, y val = 114
66148,0.959184,-0.875000, x val = 142, y val = 114
66163,0.959184,-0.937500, x val = 142, y val = 113
66178,0.959184,-0.937500, x val = 142, y val = 113
66193,0.959184,-0.937500, x val = 142, y val = 113
66208,0.959184,-0.937500, x val = 142, y val = 113
66223,0.959184,-0.937500, x val = 142, y val = 113
66238,0.959184,-0.937500, x val = 142, y val = 113
66253,0.938776,-0.937500, x val = 141, y val = 113
66268,0.938776,-0.937500, x val = 141, y val = 113
66283,0.938776,-1.000000, x val = 141, y val = 112
66298,0.938776,-1.000000, x val = 141, y val = 112
66313,0.938776,-1.000000, x val = 141, y val = 112
66328,0.938776,-1.000000, x val = 141, y val = 112
66343,0.938776,-1.000000, x val = 141, y val = 112
66358,0.918367,-1.000000, x val = 140, y val = 112
66373,0.918367,-1.000000, x val = 140, y val = 112
66388,0.918367,-1.000000, x val = 140, y val = 112
66403,0.918367,-1.000000, x val = 140, y val = 112
66418,0.897959,-1.000000, x val = 139, y val = 112
66433,0.897959,-1.000000, x val = 139, y val = 112
66448,0.877551,-1.000000, x val = 138, y val = 112
66463,0.877551,-1.000000, x val = 138, y val = 112
