48985,0.708333,0.333333, x val = 130, y val = 140
49000,0.708333,0.333333, x val = 130, y val = 140
49015,0.708333,0.333333, x val = 130, y val = 140
49030,0.708333,0.333333, x val = 130, y val = 140
49045,0.708333,0.333333, x val = 130, y val = 140
49060,0.708333,0.333333, x val = 130, y val = 140
49075,0.708333,0.333333, x val = 130, y val = 140
49090,0.708333,0.333333, x val = 130, y val = 140
49105,0.708333,0.333333, x val = 130, y val = 140
49120,0.708333,0.333333, x val = 130, y val = 140
49135,0.708333,0.333333, x val = 130, y val = 140
49150,0.708333,0.333333, x val = 130, y val = 140
49165,0.708333,0.333333, x val = 130, y val = 140
49180,0.708333,0.333333, x val = 130, y val = 140
49195,0.708333,0.333333, x val = 130, y val = 140
49210,0.708333,0.333333, x val = 130, y val = 140
49225,0.708333,0.333333, x val = 130, y val = 140
49240,0.708333,0.333333, x val = 130, y val = 140
49255,0.708333,0.333333, x val = 130, y val = 140
49270,0.708333,0.333333, x val = 130, y val = 140
49285,0.708333,0.333333, x val = 130, y val = 140
49300,0.708333,0.380952, x val = 130, y val = 141
49315,0.708333,0.380952, x val = 130, y val = 141
49330,0.708333,0.428571, x val = 130, y val = 142
49345,0.708333,0.476190, x val = 130, y val = 143
49360,0.708333,0.571429, x val = 130, y val = 145
49375,0.708333,0.619048, x val = 130, y val = 146
49390,0.708333,0.666667, x val = 130, y val = 147
49405,0.708333,0.714286, x val = 130, y val = 148
49420,0.708333,0.761905, x val = 130, y val = 149
49435,0.708333,0.761905, x val = 130, y val = 149
49450,0.708333,0.761905, x val = 130, y val = 149
49465,0.708333,0.761905, x val = 130, y val = 149
49480,0.708333,0.809524, x val = 130, y val = 150
49495,0.708333,0.809524, x val = 130, y val = 150
49510,0.708333,0.809524, x val = 130, y val = 150
49525,0.708333,0.809524, x val = 130, y val = 150
49540,0.708333,0.809524, x val = 130, y val = 150
49555,0.708333,0.809524, x val = 130, y val = 150
49570,0.708333,0.809524, x val = 130, y val = 150
49585,0.708333,0.809524, x val = 130, y val = 150
49600,0.708333,0.809524, x val = 130, y val = 150
49615,0.708333,0.857143, x val = 130, y val = 151
49630,0.708333,0.857143, x val = 130, y val = 151
49645,0.708333,0.857143, x val = 130, y val = 151
49660,0.708333,0.857143, x val = 130, y val = 151
49675,0.729167,0.904762, x val = 131, y val = 152
49690,0.729167,0.904762, x val = 131, y val = 152
49705,0.729167,0.904762, x val = 131, y val = 152
49720,0.729167,0.333333, x val = 131, y val = 140
49735,0.729167,0.238095, x val = 131, y val = 138
49750,0.729167,0.190476, x val = 131, y val = 137
49765,0.729167,0.190476, x val = 131, y val = 137
49780,0.729167,0.190476, x val = 131, y val = 137
49795,0.729167,0.142857, x val = 131, y val = 136
49810,0.729167,0.142857, x val = 131, y val = 136
49825,0.729167,0.142857, x val = 131, y val = 136
49840,0.729167,0.142857, x val = 131, y val = 136
49855,0.729167,0.142857, x val = 131, y val = 136
49870,0.729167,0.142857, x val = 131, y val = 136
49885,0.729167,0.142857, x val = 131, y val = 136
49900,0.729167,0.142857, x val = 131, y val = 136
49915,0.729167,0.142857, x val = 131, y val = 136
49930,0.729167,0.142857, x val = 131, y val = 136
49945,0.729167,0.142857, x val = 131, y val = 136
49960,0.729167,0.142857, x val = 131, y val = 136
49975,0.729167,0.142857, x val = 131, y val = 136
49990,0.729167,0.142857, x val = 131, y val = 136
50005,0.729167,0.142857, x val = 131, y val = 136
50020,0.729167,0.142857, x val = 131, y val = 136
50035,0.729167,0.142857, x val = 131, y val = 136
50050,0.729167,0.142857, x val = 131, y val = 136
50065,0.729167,0.142857, x val = 131, y val = 136
50080,0.729167,0.142857, x val = 131, y val = 136
50095,0.729167,0.142857, x val = 131, y val = 136
50110,0.729167,0.142857, x val = 131, y val = 136
50125,0.729167,0.142857, x val = 131, y val = 136
50140,0.729167,0.142857, x val = 131, y val = 136
50155,0.729167,0.142857, x val = 131, y val = 136
50170,0.729167,0.142857, x val = 131, y val = 136
50185,0.729167,0.142857, x val = 131, y val = 136
50200,0.729167,0.142857, x val = 131, y val = 136
50215,0.729167,0.142857, x val = 131, y val = 136
50230,0.729167,0.142857, x val = 131, y val = 136
50245,0.729167,0.142857, x val = 131, y val = 136
50260,0.729167,0.142857, x val = 131, y val = 136
50275,0.729167,0.142857, x val = 131, y val = 136
50290,0.729167,0.142857, x val = 131, y val = 136
50305,0.729167,0.142857, x val = 131, y val = 136
50320,0.729167,0.142857, x val = 131, y val = 136
50335,0.729167,0.142857, x val = 131, y val = 136
50350,0.729167,0.142857, x val = 131, y val = 136
50365,0.729167,0.142857, x val = 131, y val = 136
50380,0.729167,0.142857, x val = 131, y val = 136
50395,0.729167,0.142857, x val = 131, y val = 136
50410,0.729167,0.142857, x val = 131, y val = 136
50425,0.729167,0.142857, x val = 131, y val = 136
50440,0.729167,0.142857, x val = 131, y val = 136
50455,0.729167,0.142857, x val = 131, y val = 136
